image_name,label
00000.png,4
00001.png,2
00002.png,8
00003.png,2
00004.png,4
00005.png,4
00006.png,0
00007.png,0
00008.png,4
00009.png,9
00010.png,4
00011.png,9
00012.png,4
00013.png,2
00014.png,0
00015.png,3
00016.png,1
00017.png,4
00018.png,9
00019.png,4
00020.png,2
00021.png,2
00022.png,9
00023.png,4
00024.png,4
00025.png,9
00026.png,0
00027.png,7
00028.png,8
00029.png,3
00030.png,7
00031.png,0
00032.png,0
00033.png,4
00034.png,2
00035.png,5
00036.png,5
00037.png,0
00038.png,0
00039.png,7
00040.png,0
00041.png,2
00042.png,1
00043.png,0
00044.png,7
00045.png,1
00046.png,4
00047.png,7
00048.png,7
00049.png,4
00050.png,8
00051.png,5
00052.png,4
00053.png,3
00054.png,4
00055.png,4
00056.png,5
00057.png,9
00058.png,2
00059.png,4
00060.png,7
00061.png,4
00062.png,3
00063.png,9
00064.png,0
00065.png,5
00066.png,1
00067.png,7
00068.png,9
00069.png,1
00070.png,8
00071.png,3
00072.png,7
00073.png,2
00074.png,0
00075.png,4
00076.png,0
00077.png,1
00078.png,2
00079.png,1
00080.png,2
00081.png,0
00082.png,7
00083.png,2
00084.png,6
00085.png,4
00086.png,7
00087.png,8
00088.png,2
00089.png,4
00090.png,2
00091.png,0
00092.png,5
00093.png,2
00094.png,2
00095.png,0
00096.png,7
00097.png,0
00098.png,0
00099.png,5
00100.png,0
00101.png,0
00102.png,7
00103.png,3
00104.png,4
00105.png,7
00106.png,2
00107.png,8
00108.png,4
00109.png,9
00110.png,6
00111.png,6
00112.png,9
00113.png,2
00114.png,2
00115.png,0
00116.png,6
00117.png,9
00118.png,9
00119.png,4
00120.png,8
00121.png,5
00122.png,3
00123.png,4
00124.png,4
00125.png,2
00126.png,5
00127.png,4
00128.png,1
00129.png,1
00130.png,3
00131.png,5
00132.png,7
00133.png,1
00134.png,4
00135.png,7
00136.png,0
00137.png,4
00138.png,7
00139.png,7
00140.png,9
00141.png,4
00142.png,4
00143.png,3
00144.png,3
00145.png,3
00146.png,7
00147.png,5
00148.png,4
00149.png,9
00150.png,4
00151.png,9
00152.png,9
00153.png,4
00154.png,6
00155.png,1
00156.png,1
00157.png,0
00158.png,1
00159.png,0
00160.png,4
00161.png,5
00162.png,0
00163.png,4
00164.png,5
00165.png,9
00166.png,5
00167.png,0
00168.png,8
00169.png,8
00170.png,4
00171.png,0
00172.png,9
00173.png,0
00174.png,9
00175.png,0
00176.png,6
00177.png,6
00178.png,0
00179.png,4
00180.png,1
00181.png,0
00182.png,5
00183.png,0
00184.png,3
00185.png,6
00186.png,4
00187.png,4
00188.png,1
00189.png,4
00190.png,1
00191.png,6
00192.png,1
00193.png,0
00194.png,5
00195.png,5
